date,tx,tn,rf,sf,sm,pa
1987-07-24,31.603199333980164,21.321827235867705,3.6054034622864837,0,0,98499.08282971916
1987-07-25,29.44781372634448,19.3430855076719,0.34902239879848185,0,0,98591.38642019196
1987-07-26,27.076537479762713,17.16701036562413,0.07404905809781495,0,0,98177.45822964807
1987-07-27,26.232243159213102,12.761144682134635,0.03224315719167151,0,0,98251.27266263776
1987-07-28,23.843761112526394,10.654425878351878,0.011731248244330673,0,0,98425.6452186278
1987-07-29,25.927657095851146,11.266583736282712,2.1968005819863965,0,0,98491.48951297547
1987-07-30,27.919161017831858,16.073977977916773,0.2935655930480455,0,0,98286.65481692144
1987-07-31,24.665410524240134,12.51717027514336,0.004479203832730084,0,0,98742.73373622468
1987-08-01,25.668432218766576,11.704408116074504,0.9577675004934357,0,0,98582.26448631355
1987-08-02,22.808176446122037,15.116423773333308,13.629399228087532,0,0,97834.39388553146
1987-08-03,28.8760755079902,19.45840735355815,0.10131532208609319,0,0,97695.0799857803
1987-08-04,28.23540709529786,16.15698544766358,0.6358336230115538,0,0,97745.48524706719
1987-08-05,22.30490573309428,11.29111271230004,0.004337006818981218,0,0,98385.26128688233
1987-08-06,24.383754025054834,9.589939579182234,0,0,0,98663.5015997156
1987-08-07,26.296373999250175,11.024422345532669,5.35591891842341,0,0,98526.92143618912
1987-08-08,24.89267684605636,13.899964449204798,1.4839672989112984,0,0,98511.94098826875
1987-08-09,18.401635355429,13.608425182419827,13.286633511264258,0,0,98125.552790615
1987-08-10,25.671951664159444,12.309811574472807,0.14262353414600107,0,0,98179.98222538215
1987-08-11,23.073657932545935,11.75805189225583,0.009811589197039478,0,0,98882.31425524352
1987-08-12,24.605687888966223,8.958834025345364,0,0,0,98806.39175257731
1987-08-13,27.949982286135242,13.570529706190795,0.14852470464122453,0,0,98681.42552435123
1987-08-14,28.3886597820164,18.781265420164452,2.8381088183225365,0,0,98728.58514041948
1987-08-15,30.492712326673608,19.731461083215198,0.5158905140814559,0,0,98545.08354070387
1987-08-16,31.456096544072505,20.45030216809655,2.84194809973367,0,0,98143.03590472805
1987-08-17,28.52193386987821,20.804905716821132,1.9436544702013234,0,0,97777.76750799858
1987-08-18,25.938890865338134,15.3490224004936,0.7721294031484756,0,0,98343.42339139708
1987-08-19,25.45958048755742,15.106967655823318,0.42989691218425485,0,0,98261.70280838961
1987-08-20,23.609953793858956,11.648311418695378,0.006114468630039094,0,0,98801.00604337007
1987-08-21,26.557021025445085,10.997262739431719,4.90554571108296,0,0,98943.09278350516
1987-08-22,25.53540707278667,17.390223921807348,0.2887308972133168,0,0,97836.15357269818
1987-08-23,19.268112263304882,9.608602920122685,0.3623178112593741,0,0,98644.70316388198
1987-08-24,19.33327402697311,7.604799160447105,0.022111624500482818,0,0,99095.42125844295
1987-08-25,22.16747238302926,8.76633484288123,0.17099182530734364,0,0,99032.50977603982
1987-08-26,19.591539263598147,8.317383583779442,0.42456452480169365,0,0,99234.2054745823
1987-08-27,20.83654471287895,12.053821537276837,0.1827230687523668,0,0,98750.21685033772
1987-08-28,19.443085743361337,12.03210096260936,5.909669356269003,0,0,98774.02417348027
1987-08-29,22.524955561014412,11.630963418054021,0.360611447120874,0,0,98851.99786704585
1987-08-30,23.517276881218297,9.50970489598236,6.694063340223348,0,0,98893.62246711696
1987-08-31,21.21468183759519,13.982403124603477,6.243014595356438,0,0,98216.81478848205
1987-09-01,17.415499424451276,8.400142169278412,1.0056523250815201,0,0,98274.009953786
1987-09-02,18.359473951592634,8.327017433228884,0.201813013585191,0,0,98445.53146107358
1987-09-03,18.74429450118156,4.011624597884394,0.012157838686988144,0,0,99334.4009953786
1987-09-04,21.109562760945362,4.8752221743322295,0.005119090015846684,0,0,99572.57376466406
1987-09-05,24.135193782390076,8.548098121043672,0.025595450132205908,0,0,99215.73409171702
1987-09-06,23.603163761555237,12.118165610144242,0.0034838251973486776,0,0,98834.4116601493
1987-09-07,24.851226357094895,14.530430120121657,0.5468183424849549,0,0,98551.1980092428
1987-09-08,20.95300396303244,15.94603617471857,12.227834985317008,0,0,98307.33380732314
1987-09-09,23.241663741251774,16.066974925689752,0.18332741236055275,0,0,97989.98933522929
1987-09-10,23.62630651279399,10.94109489313445,0.033345183480095276,0,0,98671.16601493068
1987-09-11,21.683114210143025,11.643725572173128,2.1704230380840164,0,0,98661.11624600072
1987-09-12,21.456132239224093,16.302381809775703,1.3397084943052293,0,0,98368.87308922858
1987-09-13,23.268965606879306,15.631425573441891,4.683149695343451,0,0,98139.37077852826
1987-09-14,20.91560621224304,9.527337347533074,0.05503021638841761,0,0,98493.28474937788
1987-09-15,21.78937055070418,7.913295454628053,0.018414504325478857,0,0,98613.5015997156
1987-09-16,22.784251698895023,8.557838617759458,1.9424813261478768,0,0,98380.64344116602
1987-09-17,17.291112655004994,11.931603253375073,7.350586565864964,0,0,97997.31247778173
1987-09-18,14.865730554490508,9.840561653175177,2.550159963856293,0,0,97698.2367579097
